<0.0000e+00 0.0000e+00>
<1296010.6581063592 1916217.6525064842>
<1296715.9286280724 1924371.0621665963>
<1297395.5870678597 1932523.5545775716>
<1298049.676808929 1940674.8945533321>
<1298678.2440322668 1948824.8475935443>
<1299281.3377040678 1956973.1799255616>
<1299859.0095624612 1965119.658546043>
<1300411.3141035426 1973264.0512622332>
<1300938.308566724 1981406.1267328935>
<1301440.05291941 1989545.6545088766>
<1301916.6098410157 1997682.40507333>
<1302368.0447063318 2005816.149881522>
<1302794.4255682528 2013946.6614002793>
<1303195.8231398764 2022073.7131470277>
<1303572.3107759864 2030197.079728427>
<1303923.9644539307 2038316.5368785916>
<1304250.862753904 2046431.8614968893>
<1304553.0868386484 2054542.8316853093>
<1304830.7204325818 2062649.2267853955>
<1305083.849800365 2070750.827414733>
<1305312.5637249206 2078847.4155029845>
<1305516.953484911 2086938.7743274714>
<1305697.112831692 2095024.6885482878>
<1305853.1379657474 2103104.944242949>
<1305985.1275126191 2111179.3289405634>
<1306093.1824983426 2119247.6316555245>
<1306177.4063243987 2127309.642920718>
<1306237.9047421915 2135365.15482024>
<1306274.7858270647 2143413.96102162>
<1306288.1599518645 2151455.8568075453>
<1306278.139760063 2159490.6391070844>
<1306244.840138449 2167518.1065264014>
<1306188.378189398 2175538.059378964>
<1306108.8732027314 2183550.299715235>
<1306006.446627175 2191554.6313518486>
<1305881.2220414274 2199550.859900268>
<1305733.3251248454 2207538.7927949186>
<1305562.8836277595 2215518.239320799>
<1305370.0273414273 2223489.0106405606>
<1305154.8880676338 2231450.919821062>
<1304917.5995879495 2239403.781859387>
<1304658.297632653 2247347.4137083315>
<1304377.1198493307 2255281.6343013514>
<1304074.205771159 2263206.2645769757>
<1303749.6967848795 2271121.1275026784>
<1303403.7360984776 2279026.0480982075>
<1303036.4687085685 2286920.8534583743>
<1302648.0413675033 2294805.3727752957>
<1302238.6025502027 2302679.4373600935>
<1301808.3024207249 2310542.8806640427>
<1301357.2927985766 2318395.538299177>
