<5.7900e+10 0.0000e+00>
<1.6713885839434277E10 -5.610288859852836E10>
<1.784406144618025E10 -5.574814879761092E10>
<1.896686003408407E10 -5.5370360742726746E10>
<2.0081815173994877E10 -5.496967411054359E10>
<2.1188463320500748E10 -5.454624787402149E10>
<2.2286343991426582E10 -5.410025025320944E10>
<2.337499994676701E10 -5.363185866281163E10>
<2.4453977367006004E10 -5.314125965651685E10>
<2.5522826030774155E10 -5.262864886808476E10>
<2.6581099491793686E10 -5.2094230949183E10>
<2.7628355255060406E10 -5.153821950396967E10>
<2.8664154952210953E10 -5.096083702041598E10>
<2.9688064516022743E10 -5.036231479836422E10>
<3.0699654353993145E10 -4.974289287431706E10>
<3.1698499520943485E10 -4.9102819942954254E10>
<3.268417989059249E10 -4.844235327537381E10>
<3.3656280326042908E10 -4.7761758634055145E10>
<3.4614390849124E10 -4.706131018454244E10>
<3.5558106808531715E10 -4.6341290403847244E10>
<3.64870290467073E10 -4.560198998557005E10>
<3.740076406539422E10 -4.484370774174162E10>
<3.829892418981227E10 -4.4066750501385475E10>
<3.9181127731386665E10 -4.327143300580416E10>
<4.0046999148969185E10 -4.245807780059287E10>
<4.089616920848724E10 -4.1627015124384964E10>
<4.172827514095602E10 -4.0778582794335205E10>
<4.2542960798787605E10 -3.9913126088347725E10>
<4.333987681033059E10 -3.903099762405685E10>
<4.411868073257212E10 -3.813255723457039E10>
<4.4879037201934044E10 -3.72181718409863E10>
<4.562061808309361E10 -3.628821532169501E10>
<4.6343102615758514E10 -3.534306837848133E10>
<4.704617755932515E10 -3.438311839944132E10>
<4.772953733534832E10 -3.3408759318731033E10>
<4.8392884167749825E10 -3.242039147316593E10>
<4.903592822069259E10 -3.1418421455691338E10>
<4.9658387734046555E10 -3.0403261965746086E10>
<5.025998915637171E10 -2.937533165654344E10>
<5.084046727534321E10 -2.8335054979295223E10>
<5.139956534554294E10 -2.7282862024407013E10>
<5.193703521354155E10 -2.6219188359674377E10>
<5.245263744019435E10 -2.5144474865512066E10>
<5.294614142007435E10 -2.405916756725024E10>
<5.34173254979652E10 -2.2963717464534042E10>
<5.386597708233686E10 -2.1858580357864906E10>
<5.429189275572628E10 -2.07442166723244E10>
<5.4694878381945625E10 -1.9621091278523575E10>
<5.507474921004042E10 -1.848967331082324E10>
<5.5431329974919945E10 -1.7350435982872925E10>
<5.576445499458257E10 -1.6203856400518751E10>
<5.607396826385873E10 -1.5050415372132824E10>
<5.635972354459461E10 -1.3890597216419378E10>
<5.662158445220011E10 -1.272488956775533E10>
<5.685942453848482E10 -1.155378317912549E10>
<5.707312737070665E10 -1.0377771722715292E10>
<5.72625866067582E10 -9.197351588226435E9>
<5.742770606641672E10 -8.01302167898354E9>
<5.756839979858437E10 -6.825283205902472E9>
<5.7684592144446556E10 -5.634639479393702E9>
<5.777621779647685E10 -4.441595699276685E9>
<5.784322185321851E10 -3.2466587427839212E9>
<5.7885559869773575E10 -2.0503369507360077E9>
<5.790319790393201E10 -8.531399119716532E8>
<5.789611255787479E10 3.4442175388072324E8>
<5.7864291015386345E10 1.541836615200564E9>
<5.780773107451354E10 2.7385926486500444E9>
<5.7726441175609985E10 3.9341774608317795E9>
<5.762044042470656E10 5.128078511232328E9>
<5.748975861215088E10 6.319783336351927E9>
<5.733443622646058E10 7.508779774918364E9>
<5.7154524463337494E10 8.694556194080454E9>
<5.69500852297922E10 9.876601716474148E9>
<5.672119114333073E10 1.105440644805194E10>
<5.64679255261578E10 1.222746170656392E10>
<5.61903823943537E10 1.3395260250576544E10>
<5.588866644198448E10 1.4557296508913055E10>
<5.556289302010817E10 1.571306681039728E10>
<5.521318811064255E10 1.6862069613780539E10>
<5.4839688295063194E10 1.8003805737729427E10>
<5.444254071790355E10 1.913777859075031E10>
<5.402190304503205E10 2.0263494400924572E10>
<5.3577943416684814E10 2.1380462445327003E10>
<5.31108403952356E10 2.248819527899803E10>
<5.262078290768856E10 2.358620896333905E10>
<5.210797018288257E10 2.467402329379864E10>
<5.1572611683399994E10 2.5751162026716263E10>
<5.101492703217623E10 2.6817153105188747E10>
<5.0435145933810295E10 2.7871528883823925E10>
<4.983350809058071E10 2.8913826352244736E10>
<4.9210263113174835E10 2.994358735720643E10>
<4.856567042614382E10 3.0960358823188725E10>
<4.789999916809957E10 3.1963692971324314E10>
<4.721352808667404E10 3.2953147536524662E10>
<4.650654542826567E10 3.3928285982663803E10>
<4.5779348822601654E10 3.488867771568073E10>
<4.503224516214931E10 3.583389829446104E10>
<4.426555047641391E10 3.676352963935849E10>
<4.3479589801164764E10 3.767716023821788E10>
<4.2674697042635574E10 3.857438534976055E10>
<4.185121483674954E10 3.945480720419505E10>
<4.100949440342401E10 4.031803520091588E10>
<4.0149895396013695E10 4.1163686103154366E10>
<3.927278574595604E10 4.1991384229446884E10>
<3.837854150268647E10 4.280076164178674E10>
<3.74675466688956E10 4.3591458330327644E10>
<3.654019303120482E10 4.436312239450816E10>
<3.5596879986340805E10 4.511541022046847E10>
<3.463801436289387E10 4.584798665463235E10>
<3.3664010238748962E10 4.6560525173329834E10>
<3.2675288754282555E10 4.725270804833775E10>
<3.1672277921422344E10 4.7924226508218056E10>
<3.065541242867097E10 4.857478089533631E10>
<2.962513344219862E10 4.9204080818445335E10>
<2.85818884031133E10 4.9811845300721886E10>
<2.752613082102132E10 5.0397802923147285E10>
<2.6458320063994026E10 5.096169196312593E10>
<2.53789211450605E10 5.150326052823899E10>
<2.4288404505349262E10 5.202226668503397E10>
<2.3187245794005367E10 5.251847858275428E10>
<2.207592564501248E10 5.299167457191673E10>
<2.095492945105256E10 5.344164331764864E10>
<1.9824747134538727E10 5.386818390770004E10>
<1.868587291595974E10 5.4271105955050575E10>
<1.7538805079677097E10 5.465022969503486E10>
<1.6384045737318348E10 5.5005386076914185E10>
<1.5222100588912588E10 5.5336416849826836E10>
<1.4053478681916286E10 5.56431746430537E10>
<1.2878692168279696E10 5.5925523040540375E10>
<1.1698256059705986E10 5.6183336649621475E10>
<1.0512687981256996E10 5.641650116389763E10>
<9.322507923461052E9 5.66249134202202E10>
<8.128237993079733E9 5.680848144974369E10>
<6.930402162691688E9 5.696712452301054E10>
<5.729526019252665E9 5.7100773189037834E10>
<4.526136511791814E9 5.720936930838058E10>
<3.3207616984050264E9 5.729286608015072E10>
<2.1139304927066011E9 5.735122806297655E10>
<9.061724099008985E8 5.738443118989163E10>
<-3.0198268736419797E8 5.739246277714771E10>
<-1.5100048432001858E9 5.737532152695083E10>
<-2.717364262575573E9 5.733301752412496E10>
<-3.9235315651469517E9 5.726557222671238E10>
<-5.1279780386627655E9 5.717301845052489E10>
<-6.330175891779747E9 5.705540034766499E10>
<-7.529598506132862E9 5.691277337904099E10>
<-8.725720687500689E9 5.674520428090462E10>
<-9.91801891590935E9 5.655277102544482E10>
<-1.1105971594519545E10 5.633556277547592E10>
<-1.228905929714276E10 5.609367983326303E10>
<-1.3466765014234468E10 5.582723358353209E10>
<-1.4638574397214006E10 5.553634643071663E10>
<-1.5803976000962837E10 5.5221151730497536E10>
<-1.696246152435509E10 5.488179371569656E10>
<-1.81135260486766E10 5.451842741658851E10>
<-1.925666827379115E10 5.413121857570117E10>
<-2.0391390751915123E10 5.372034355717613E10>
<-2.1517200118864697E10 5.3285989250767426E10>
<-2.263360732264234E10 5.282835297055892E10>
<-2.3740127849232544E10 5.2347642348484856E10>
<-2.4836281945479664E10 5.184407522274168E10>
<-2.592159483892408E10 5.131787952118259E10>
<-2.6995596954476063E10 5.076929313978963E10>
<-2.8057824127810246E10 5.019856381632127E10>
<-2.9107817815367004E10 4.960594899923641E10>
<-3.01451253008507E10 4.8991715711998665E10>
<-3.1169299898118317E10 4.835614041286761E10>
<-3.217990115035585E10 4.7699508850286026E10>
<-3.31764950254435E10 4.7022115913974915E10>
<-3.4158654107414635E10 4.6324265481850105E10>
<-3.512595778391739E10 4.560627026287658E10>
<-3.6077992429591705E10 4.486845163597859E10>
<-3.701435158527859E10 4.411113948512545E10>
<-3.793463613298243E10 4.333467203071459E10>
<-3.883845446651131E10 4.253939565737509E10>
<-3.9725422657724144E10 4.172566473831611E10>
<-4.0595164618317795E10 4.089384145634607E10>
<-4.144731225709124E10 4.0044295621689354E10>
<-4.2281505632628075E10 3.9177404486728355E10>
<-4.3097393101342606E10 3.8293552557799416E10>
<-4.3894631460839035E10 3.739313140417182E10>
<-4.467288608853716E10 3.647653946433961E10>
<-4.5431831075522125E10 3.554418184975615E10>
<-4.61711493555798E10 3.459647014614184E10>
<-4.689053282938332E10 3.363382221249513E10>
<-4.758968248380026E10 3.2656661977937237E10>
<-4.8268308506293884E10 3.1665419236520504E10>
<-4.8926130394395676E10 3.0660529440130203E10>
<-4.9562877060230354E10 2.964243348960902E10>
<-5.017828693007803E10 2.861157752423292E10>
<-5.0772108038962234E10 2.75684127096664E10>
<-5.1344098120255806E10 2.6513395024524307E10>
<-5.189402469030053E10 2.544698504566647E10>
<-5.242166512803963E10 2.436964773235039E10>
<-5.292680674966582E10 2.3281852209366085E10>
<-5.3409246878290924E10 2.2184071549275875E10>
<-5.3868792908646225E10 2.1076782553880737E10>
<-5.430526236682607E10 1.996046553503322E10>
<-5.4718482965090195E10 1.8835604094915565E10>
<-5.5108292651743256E10 1.770268490590003E10>
<-5.5474539656113106E10 1.6562197490106647E10>
<-5.581708252865196E10 1.5414633998772144E10>
<-5.6135790176187515E10 1.4260488991541632E10>
<-5.6430541892353546E10 1.3100259215793045E10>
<-5.670122738323226E10 1.1934443386102251E10>
<-5.6947746788242874E10 1.0763541963954754E10>
<-5.7170010696313385E10 9.588056937807941E9>
<-5.736794015737478E10 8.408491603605657E9>
<-5.754146668921888E10 7.225350345844795E9>
<-5.769053227976327E10 6.039138419291424E9>
<-5.781508938476854E10 4.85036173144174E9>
<-5.791510092105513E10 3.659526625820931E9>
<-5.7990540255268456E10 2.4671396662107534E9>
<-5.804139118824309E10 1.2737074218943648E9>
<-5.806764793501792E10 7.973625400463963E7>
<-5.806931510055597E10 -1.1142678969400973E9>
<-5.804640765122363E10 -2.3077997222313147E9>
<-5.79989508820857E10 -3.5003547548172083E9>
<-5.792698038007332E10 -4.691429577724369E9>
<-5.7830541983083435E10 -5.880522030979541E9>
<-5.770969173506907E10 -7.067131416959154E9>
<-5.756449583718078E10 -8.250758704096625E9>
<-5.739503059502035E10 -9.430906728879704E9>
<-5.720138236206866E10 -1.0607080396072443E10>
<-5.69836474793501E10 -1.177878687709862E10>
<-5.674193221139668E10 -1.2945535806525679E10>
<-5.647635267857531E10 -1.4106839476590506E10>
<-5.618703478584218E10 -1.5262213029710495E10>
<-5.587411414798854E10 -1.6411174648925596E10>
<-5.553773601144239E10 -1.7553245746219086E10>
<-5.517805517269075E10 -1.8687951148666977E10>
<-5.479523589338738E10 -1.981481928236801E10>
<-5.4389451812210846E10 -2.0933382354108177E10>
<-5.396088585353772E10 -2.204317653071578E10>
<-5.350973013299586E10 -2.3143742116064884E10>
<-5.303618585996232E10 -2.423462372568705E10>
<-5.254046323707045E10 -2.5315370458952923E10>
<-5.2022781356790474E10 -2.6385536068787243E10>
<-5.148336809514747E10 -2.7444679128882492E10>
<-5.092246000264046E10 -2.8492363198378162E10>
<-5.03403021924259E10 -2.9528156983974293E10>
<-4.973714822582842E10 -3.055163449944952E10>
<-4.911325999524117E10 -3.1562375222555492E10>
<-4.846890760447785E10 -3.2559964249261005E10>
<-4.7804369246637695E10 -3.3543992445320663E10>
<-4.71199310795443E10 -3.45140565951443E10>
<-4.64158870988186E10 -3.546975954794479E10>
<-4.569253900864563E10 -3.64107103611431E10>
<-4.495019609029405E10 -3.7336524441010735E10>
<-4.418917506844691E10 -3.824682368053108E10>
<-4.3409799975401245E10 -3.914123659446192E10>
<-4.261240201319368E10 -4.001939845158293E10>
<-4.179731941370812E10 -4.088095140411271E10>
<-4.096489729682138E10 -4.172554461428098E10>
<-4.011548752664146E10 -4.255283437804261E10>
<-3.924944856589268E10 -4.336248424592079E10>
<-3.836714532850113E10 -4.4154165140967834E10>
<-3.746894903043301E10 -4.49275554738325E10>
<-3.655523703883787E10 -4.568234125492382E10>
<-3.562639271954798E10 -4.641821620366184E10>
<-3.468280528298422E10 -4.713488185480642E10>
<-3.3724869628518257E10 -4.7832047661855865E10>
<-3.2752986187340034E10 -4.8509431097507706E10>
<-3.176756076387889E10 -4.916675775117427E10>
<-3.0769004375825867E10 -4.980376142354647E10>
<-2.9757733092804127E10 -5.042018421819929E10>
<-2.8734167873733738E10 -5.101577663023314E10>
<-2.7698734402936348E10 -5.159029763194536E10>
<-2.6651862925024734E10 -5.214351475552654E10>
<-2.5593988078621494E10 -5.267520417277662E10>
<-2.45255487289506E10 -5.318515077183584E10>
<-2.344698779934493E10 -5.367314823092594E10>
<-2.235875210171235E10 -5.413899908909703E10>
<-2.1261292166002396E10 -5.458251481397575E10>
<-2.0155062068715065E10 -5.500351586651044E10>
<-1.9040519260492783E10 -5.540183176270899E10>
<-1.791812439283616E10 -5.577730113236535E10>
<-1.6788341143983717E10 -5.612977177477022E10>
