<2.2790e+11 0.0000e+00>
<1.5330231207170383E11 1.6810173541614658E11>
<1.5285477916729358E11 1.6850668376984283E11>
<1.524061699223977E11 1.689104455790775E11>
<1.519564874739307E11 1.6931301797629456E11>
<1.5150573496648117E11 1.697143981021828E11>
<1.5105391555229053E11 1.7011458310569675E11>
<1.5060103239123145E11 1.7051357014407718E11>
<1.5014708865078638E11 1.7091135638287183E11>
<1.4969208750602594E11 1.713079389959559E11>
<1.4923603213958734E11 1.717033151655526E11>
<1.4877892574165265E11 1.7209748208225363E11>
<1.4832077150992703E11 1.7249043694503946E11>
<1.47861572649617E11 1.7288217696129987E11>
<1.4740133237340854E11 1.7327269934685403E11>
<1.4694005390144513E11 1.736620013259709E11>
<1.464777404613059E11 1.7405008013138925E11>
<1.460143952879835E11 1.7443693300433795E11>
<1.45550021623862E11 1.7482255719455594E11>
<1.450846227186949E11 1.752069499603122E11>
<1.4461820182958276E11 1.7559010856842578E11>
<1.4415076222095114E11 1.759720302942857E11>
<1.436823071645281E11 1.7635271242187073E11>
<1.4321283993932202E11 1.767321522437692E11>
<1.4274236383159906E11 1.771103470611987E11>
<1.422708821348608E11 1.7748729418402582E11>
<1.4179839814982166E11 1.7786299093078564E11>
<1.4132491518438632E11 1.7823743462870145E11>
<1.4085043655362714E11 1.7861062261370404E11>
<1.4037496557976144E11 1.7898255223045135E11>
<1.3989850559212878E11 1.7935322083234766E11>
<1.3942105992716815E11 1.7972262578156302E11>
<1.3894263192839517E11 1.8009076444905246E11>
<1.3846322494637918E11 1.8045763421457526E11>
<1.3798284233872028E11 1.8082323246671402E11>
<1.375014874700263E11 1.811875566028938E11>
<1.3701916371188982E11 1.815506040294011E11>
<1.3653587444286496E11 1.8191237216140283E11>
<1.3605162304844432E11 1.8227285842296527E11>
<1.3556641292103572E11 1.8263206024707285E11>
<1.350802474599389E11 1.82989975075647E11>
<1.3459313007132228E11 1.8334660035956485E11>
<1.341050641681995E11 1.837019335586779E11>
<1.3361605317040605E11 1.8405597214183057E11>
<1.3312610050457582E11 1.844087135868789E11>
<1.326352096041175E11 1.847601553807089E11>
<1.3214338390919102E11 1.8511029501925494E11>
<1.31650626866684E11 1.8545913000751837E11>
<1.3115694193018794E11 1.858066578595855E11>
<1.3066233255997458E11 1.861528760986461E11>
<1.3016680222297206E11 1.8649778225701138E11>
<1.2967035439274113E11 1.8684137387613235E11>
<1.2917299254945123E11 1.8718364850661765E11>
