<1.0820e+11 0.0000e+00>
<-8.299069276396323E10 -6.958281758702258E10>
<-8.242880198095177E10 -7.025245019668027E10>
<-8.186153151812578E10 -7.091749773901321E10>
<-8.128891886897302E10 -7.157791721854265E10>
<-8.071100186696391E10 -7.223366594761671E10>
<-8.012781868300565E10 -7.288470154903952E10>
<-7.953940782287703E10 -7.353098195867888E10>
<-7.894580812464413E10 -7.417246542805257E10>
<-7.834705875605696E10 -7.4809110526893E10>
<-7.774319921192735E10 -7.54408761456903E10>
<-7.713426931148833E10 -7.60677214982134E10>
<-7.652030919573491E10 -7.66896061240093E10>
<-7.590135932474684E10 -7.73064898908803E10>
<-7.527746047499313E10 -7.791833299733894E10>
<-7.464865373661887E10 -7.852509597504077E10>
<-7.401498051071423E10 -7.912673969119458E10>
<-7.337648250656616E10 -7.972322535095021E10>
<-7.273320173889256E10 -8.031451449976372E10>
<-7.208518052505952E10 -8.090056902573976E10>
<-7.143246148228156E10 -8.148135116195114E10>
<-7.077508752480508E10 -8.205682348873543E10>
<-7.011310186107542E10 -8.262694893596844E10>
<-6.944654799088731E10 -8.319169078531468E10>
<-6.877546970251938E10 -8.375101267245436E10>
<-6.809991106985249E10 -8.430487858928719E10>
<-6.7419916449472435E10 -8.485325288611258E10>
<-6.673553047775684E10 -8.539610027378639E10>
<-6.604679806794681E10 -8.593338582585397E10>
<-6.5353764407203186E10 -8.646507498065941E10>
<-6.465647495364789E10 -8.699113354343102E10>
<-6.395497543339032E10 -8.751152768834282E10>
<-6.32493118375391E10 -8.80262239605521E10>
<-6.253953041919935E10 -8.853518927821272E10>
<-6.182567769045567E10 -8.903839093446442E10>
<-6.110780041934106E10 -8.953579659939766E10>
<-6.0385945626791824E10 -9.002737432199425E10>
<-5.9660160583588905E10 -9.051309253204349E10>
<-5.893049280728558E10 -9.09929200420338E10>
<-5.819699005912191E10 -9.146682604901978E10>
<-5.745970034092596E10 -9.19347801364646E10>
<-5.671867189200215E10 -9.239675227605768E10>
<-5.5973953186006874E10 -9.285271282950748E10>
<-5.522559292781144E10 -9.330263255030956E10>
<-5.44736400503528E10 -9.374648258548953E10>
<-5.371814371147199E10 -9.418423447732115E10>
<-5.295915329074069E10 -9.46158601650192E10>
<-5.219671838627593E10 -9.504133198640729E10>
<-5.143088881154326E10 -9.546062267956047E10>
<-5.066171459214852E10 -9.587370538442252E10>
<-4.9889245962618416E10 -9.628055364439789E10>
<-4.911353336317009E10 -9.668114140791833E10>
<-4.833462743646991E10 -9.707544302998404E10>
<-4.755257902438162E10 -9.746343327367918E10>
<-4.6767439164704124E10 -9.784508731166202E10>
<-4.5979259087898994E10 -9.822038072762927E10>
<-4.5188090213808014E10 -9.85892895177549E10>
<-4.439398414836086E10 -9.895179009210309E10>
<-4.359699268027317E10 -9.930785927601547E10>
<-4.279716777773515E10 -9.96574743114725E10>
<-4.199456158509098E10 -1.0000061285842897E11>
<-4.118922641950912E10 -1.0033725299612357E11>
<-4.038121476764381E10 -1.0066737322436244E11>
<-3.957057928228787E10 -1.0099095246477681E11>
<-3.8757372779017105E10 -1.0130797006205438E11>
<-3.794164823282632E10 -1.0161840578514479E11>
<-3.712345877475737E10 -1.0192223982843877E11>
<-3.630285768851929E10 -1.0221945281292117E11>
<-3.5479898407100685E10 -1.0251002578729782E11>
<-3.465463450937474E10 -1.0279394022909593E11>
<-3.3827119716696785E10 -1.0307117804573836E11>
<-3.299740788949487E10 -1.0334172157559145E11>
